"","text"
"57","cek di dtks sebagai penerimaafaat tpi blt bansos tidak prnah dapat sma skli dri dulu sampai mendaftar kjp buat ana "
"58","  giliran bansos antri paling depan"
"59"," mendaftar x kjp anak tpi tidak pernah lolos padahal penerima manfaat di dtks tpi tidak pernah dapat "
"60","  di daerah rumah mamahku yg dapet bansos orang yg deket sama nya nder"
"61","  yg bikin relawanterus hal gini juga lumrah karena termasuk sop pd bencanaterus banso "
"62"," penyaluran bansos yang dilaksanakan oleh kapolres pasangkayu kepada masyarakat yang membutuhkan    "
"63","penyaluran bansos yang dilaksanakan oleh kapolres pasangkayu kepada masyarakat yang membutuhkan   "
"64","polsek rkt polres prabumulih memberikan bansos kepada masyarakat yang sakit    "
"65","dasar kadrun giliran ada bansos bacot paling duluan  "
"66","kapolres metro tangerang kota cek langsung penyaluran bansos di kelurahan gerendeng karawaci aman dan tepat sasara "
"67"," kalo after office aku suka bingung ini gym apa antrian bansos alias rame betoll"
"68","bhabinkamtibmas desa suka damai aipda basruddin polsek muara badak polres bontang melaksanakan giat bansos "
"69","  lagi keadaan kaya gini bukannya sibuk cari logistik buat survive malah bikin tenda buat ngewe pikirannya pad"
"70","bhabinkamtibmas bripka saharuddin sh dan babinsa serda muh ali kel mallusetasi menyalurkan bansos kepada masyara "
"71","apakah bisa dapat bsu  kali simak informasi terbaru dan cara cek penerima  bsu bsu "
"72"," iyasiii  tapi mayanlah apapapun demi bansos "
"73","giat kanit samapta bersama waka polsek muara badak melaksanakan bansos di desa tanjung limau kecamatan muara badak "
"74"," sejuta doang bansos apa nyogok itu wkwkwk"
"75","kapolsek siantar selatan  iptu edi tuahta p saragih sh mh mewakili kapolres pematang siantar bersama dengan perso "
"76","waka polsek muara badak iptu lamser l  bersama kanit samapta membagikan bansos kepada warga desa tanjung limau "
"77","  lagi keadaan kaya gini bukannya sibuk cari logistik buat survive malah bikin tenda buat ngewe pikirannya pad"
"78","gimana caranya spy dpt bansos jg   "
"79"," bansos abis kayaknya"
"80","  lagi keadaan kaya gini bukannya sibuk cari logistik buat survive malah bikin tenda buat ngewe pikirannya pad"
"81","  lagi keadaan kaya gini bukannya sibuk cari logistik buat survive malah bikin tenda buat ngewe pikirannya pad"
"82","upah naik sementara kebutuhan bahan pokok bertambah mahalotomatis pengeluaran lebih besar dari pendapatanalangka "
"83","  lagi keadaan kaya gini bukannya sibuk cari logistik buat survive malah bikin tenda buat ngewe pikirannya pad"
"84","buleleng akan gunakan did rp miliar untuk cadangan pangan desa hingga beri bansos masyarakat terdampak "
"85"," di aku dari awal begono apa krn udah selalu make premium yak jd sp mikirnya gue banyak duit gitu "
"86","bismillah bansos  primo "
"87","mbah man sudah mewakili orangorang yg tdk mampu untuk mendapatkan bansos "
"88"," bansos  ngewe "
"89","kannn ngentotttt gue lupa bansos gue anjjjjjj"
"90","mayan dapet bansos pagi "
"91","pantau penyaluran bansos kapolres situbondo akbp dr andi sinjaya apersiasi minat masyarakat untukvaksin "
"92","  lagi keadaan kaya gini bukannya sibuk cari logistik buat survive malah bikin tenda buat ngewe pikirannya pad"
"93","  lagi keadaan kaya gini bukannya sibuk cari logistik buat survive malah bikin tenda buat ngewe pikirannya pad"
"94","  emang kadrun ngakuin jokowi presiden ngakuinya klo mau ambil bansos doang"
"95","penyaluran bantuan sosial dari polresta p ambon amp  pp lease  polripresisi thankyoupolisi basudaramanise "
"96"," pemerintah kota pemkot bandung menyalurkan bantuan sosial dalam rangka pengendalian inflasi tahun  kepada "
"97","   laaa mereka poto trus posting  di ig kecuali mereka pawai pake m "
"98"," lagi keadaan kyk gini bukannya sibuk cari logistik buat survive malah bikin tenda buat hs pikiranny "
"99"," lagi keadaan kaya gini bukannya sibuk cari logistik buat survive malah bikin tenda buat hs pikiranny "
"100","hood art president of indonesian semoga dapat bansos frlegends  art  presidenjokowihebat "
"101","  pancasila itu yg gimana pir  bela koruptor bansosapa gongongin siapapun yg coba usik majikan pir"
"102"," prrlu bansos kak"
"103","   ya iya aman tukang maen isu saranya kenyang makan bansos wan abud turun lapar lagi"
"104"," anj wkwkwk dpt bansos dr durex kah ini"
"105"," manusia manusia misquin komentar klo elu masih nonton bola modal stb bansos mah diem broo kecuali ke "
"106","antri wudhu seperti antri bansos "
"107"," kaya survei bansos saja "
"108","  lagi keadaan kaya gini bukannya sibuk cari logistik buat survive malah bikin tenda buat ngewe pikirannya pad"
"109","antre bansos perempuan lansia di bogor meninggal dunia   sindonews bukanberitabiasa "
"110","  lagi keadaan kaya gini bukannya sibuk cari logistik buat survive malah bikin tenda buat ngewe pikirannya pad"
"111","  lagi keadaan kaya gini bukannya sibuk cari logistik buat survive malah bikin tenda buat ngewe pikirannya pad"
"112","perempuan lansia meninggal dunia saat antre bansos di cigudeg bogor "
"113","cara cek bansos bbm  online pakai ktp di   pikiran rakyat depok  "
"114","trima kasih menfess aku jadi inget kalo aku belum ambil bansos liben"
"115","wali kota palangka raya susuri sungai kahayan salurkan bansos banjir  antara news kalimantan tengah "
"116","perempuan lansia meninggal dunia saat antre bansos di cigudeg bogor "
"117","   dapet bansos dari eti"
"118","  lagi keadaan kaya gini bukannya sibuk cari logistik buat survive malah bikin tenda buat ngewe pikirannya pad"
"119","  lagi keadaan kaya gini bukannya sibuk cari logistik buat survive malah bikin tenda buat ngewe pikirannya pad"
"120","pemerintah kota pemkot bandung menyalurkan bantuan sosial dalam rangka pengendalian inflasi tahun  kepada  "
"121"," kalau liat doktrin regresif apokaliptik macem azab gitu cuma penasaran kok bentuk dosanya selalu personal ya macem z"
"122","  narasi cocok untuk junjunganmu bansos apa bbm naik yg merata ke rakyat"
"123"," korupsi bansos covid pendukung hmmmm loh"
"124"," bingung harus ngapain saat jadi kelompok masyarakat pokmas di program bansos permakanan  yuk ikutin lima  langkah yang"
"125","ketika bansos dijadikan alat politik bahkan dijadikan senjata untuk mengintimidasi masyarakat parah tp pakta "
"126"," bansos aja dikorup"
"127","tiga bansos di gunungkidul cair bersamaan untuk puluhan ribu orang  beritajogja jogja "
"128","     owh gw kira kadrun itu yg mereka yg nyolong duit rakyat "
"129","ketika bansos dijadikan alat politik  susah dilawan wkwkw"
"130","  lagi keadaan kaya gini bukannya sibuk cari logistik buat survive malah bikin tenda buat ngewe pikirannya pad"
"131","kapolres seram bagian timur akbp agus joko nugroho sh sik pimpin giat penyaluran bansos presisi untuk ruma "
"132","kapolres seram bagian timur akbp agus joko nugroho sh sik pimpin giat penyaluran bansos presisi untuk ruma "
"133","  maen lah ke akar rumput biar tahu bagaimana bansos kalian salurkan kepada para kpm yang kal "
"134","cara daftar bansos desember ada bpnt dan blt bbm yang bisa didapatkan usai unduh aplikasi ini "
"135"," bansos bantuan sosis"
"136","  lagi keadaan kaya gini bukannya sibuk cari logistik buat survive malah bikin tenda buat ngewe pikirannya pad"
"137"," gaslah pandemi lagi bansos lagi"
"138","kouta bansos masuk space ngeleg kontol"
"139","bansos lagi tren"
"140","polsek rambang kapak tengah memberikan bansos terhadap warga yang sakit  polsekrambangkapaktengah  poldasumsel "
"141","  lagi keadaan kaya gini bukannya sibuk cari logistik buat survive malah bikin tenda buat ngewe pikirannya pad"
"142","  lagi keadaan kaya gini bukannya sibuk cari logistik buat survive malah bikin tenda buat ngewe pikirannya pad"
"143"," bansos belum terbukti"
"144"," bapak mauu nnya anak kos apa ngga dapat bansos ya pak "
"145"," terima kasih bapak wagub fast respon dan bikisan sembakonyatapi sampai saat inipun bansos juga belum "
"146"," yang sabar ya semoga habisini hepiele ngasih bansos "
"147"," pity  rate on fate ada  blm beli bansos"
"148","      kalo sayaaa ndak sukak yang namanya ban "
"149"," cici mau nanya bapakkalo ada masyarakat menengah kebawah gak dapet bansos siapa yang harus di salahkan "
"150","     lha ibuibu yang diteriakin maling di depan banyak orang "
"151"," harapan kami cuman menadapatkan bansos walaupun beras sebutir ataupun blt rp  asal benarbenar me "
"152","udah dulu yaaa aku dipanggil pak rt  huhuhu geumeuusss niiii kader bansos kaliii "
"153","      bansos pemko surakarta iya klo pemkab klaten bukan"
"154","  ya iya aman tukang maen isu saranya kenyang makan bansos wan abud turun lapar lagi"
"155"," bingung harus ngapain saat jadi kelompok masyarakat pokmas di program bansos permakanan  yuk ikutin lima  langkah yang"
"156"," bapak wagub apakah hanya tim dinsos cuman ngasih bikisan semnako dari bapak emil sajatidak lanjut u "
"157","kemarin saya beli ban tapi ban nya kepotong dan habis ternyata itu bansos"
"158"," omonganmu dah ky yg paling suci z drunzolam zolim giliran dpt bansos paling depan"
"159","      kalo bansos mungkin wewenang dia ya mas"
"160","siswa spn polda jatim salurkan bansos kepada warga kurangmampu "
"161","penyaluran bansos tak tepat sasaran warga melapor ke ketua dprd sumutsejumlah "
"162"," proyek lagi nih bansos buat org miskin aja diembat apalagi proyek gede coba pelototi sama sama"
"163"," supir angkutan umum dapatkan bansos pembelian bbm dari pemkabmadina "
"164","harapan mendapatkan bantuan bansos kok susah yawalaupun respon dari bapak wagub emil positif jelas dan langsung "
"165","reivanka asik besok dapet bansos pkh ke sono ah  tanbeachboy yok besok gua juga dapet bansos pkh  admin p "
"166","rezim tdk akan berhenti menjarah uang negara sblm negara ini hancur olh mereka sprt bumiputra asabri bansos tel "
"167","pake wifi dirumah malah jaringan bansos"
"168"," ksyak pengajusn bansos keluarha saya pak anis dari awal pamdemi hingga saat ini belum permah dapat "
"169","   mohon juga pak  untuk ikut serta menilik rsud trutama disekitaran "
"170","lbh sikap ciamis menyayangkan adanya dugaan penyimpangan penyaluran bansos   bansosciamis "
"171"," kapolda jatim lakukan peninjauan pelaksanaan vaksinasi dan pemberian bansos di gerai vaksin polres pelabuhan tanjung perak"
"172","  ayo semangat menjemput bansos"
"173","baca ini berasa baca list penerima bansos "
"174","pendistribusian bansos blt bbmsembako dan pkh di balai desa sokolelah keckadur kabpamekasan "
"175","curhat kepala desa saguling ciamis soal data penerima bansos pemerintah  ciamis bansos blt kecamatanbaregbeg"
"176"," lagi keadaan kaya gini bukannya sibuk cari logistik buat survive malah bikin tenda buat ngewe pikir "
"177","    maklum china kerja keras gak keganggu ibadah pribumi cukup amplop demo dan "
"178","kejati tetapkan  tersangka dugaan korupsi bansos di kementerian agama jawa barat "
"179","info bansos ga pernah dibuka "
"180","bhabinkantibmas giat bansos   kapoldasumsel poldasumsel  ditsamapta  kapolresbanyuasin polisibanyuasin "
"181","pasuruan program keluarga harapan pkh merupakan bantuan sosial bansos bersyarat kepada keluarga penerima manf "
"182","  kalo kata mertua saya yg org sana mah enak ibarat dapet bansos rb kepotong rb dari kelura "
"183","   intelektelor penerima bansos "
"184","   daripada ikut giveaway mending bantu keluarga lu antri bansos "
"185"," gtau a  nunggu bansos buat dpetin wawan"
"186","pada tanggal  desember  giat penyaluran bansos polri berupa  karung beras oleh bripka ida bagus darmaya bhabi "
"187"," kapan a dapet bansos"
"188","kapolda jatim lakukan peninjauan pelaksanaan vaksinasi dan pemberian bansos di gerai vaksin polres pelabuhan tanjun "
