"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"823","RT @kabarnuswantara: Pemkot Bandung Siap Salurkan Bansos Rp450 Ribu untuk 15.280 Keluarga https://t.co/SlizkitJ3s",FALSE,0,NA,2022-11-30 16:14:35,FALSE,NA,"1597987466874847233",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","De_Liput",3,TRUE,FALSE,NA,NA
"824","RT @rihanaaas: Pemkot Bandung Siap Salurkan Bansos Rp450 Ribu untuk 15.280 Keluarga https://t.co/O67k4jcVzF",FALSE,0,NA,2022-11-30 16:14:28,FALSE,NA,"1597987436000587777",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","De_Liput",3,TRUE,FALSE,NA,NA
"825","RT @De_Liput: Pemkot Bandung Siap Salurkan Bansos Rp450 Ribu untuk 15.280 Keluarga https://t.co/wA51HttW63",FALSE,0,NA,2022-11-30 16:14:27,FALSE,NA,"1597987429440712704",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","rikisya36034558",3,TRUE,FALSE,NA,NA
"826","RT @YuriEndah: Pemkot Bandung Siap Salurkan Bansos Rp450 Ribu untuk 15.280 Keluarga https://t.co/pM19KHammg",FALSE,0,NA,2022-11-30 16:14:26,FALSE,NA,"1597987429117747200",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","De_Liput",3,TRUE,FALSE,NA,NA
"827","RT @kabarnuswantara: Pemkot Bandung Siap Salurkan Bansos Rp450 Ribu untuk 15.280 Keluarga https://t.co/SlizkitJ3s",FALSE,0,NA,2022-11-30 16:14:25,FALSE,NA,"1597987422427811842",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","rikisya36034558",3,TRUE,FALSE,NA,NA
"828","RT @rihanaaas: Pemkot Bandung Siap Salurkan Bansos Rp450 Ribu untuk 15.280 Keluarga https://t.co/O67k4jcVzF",FALSE,0,NA,2022-11-30 16:14:23,FALSE,NA,"1597987415503036416",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","rikisya36034558",3,TRUE,FALSE,NA,NA
"829","RT @rikisya36034558: Pemkot Bandung Siap Salurkan Bansos Rp450 Ribu untuk 15.280 Keluarga https://t.co/3gtXKCvay6",FALSE,0,NA,2022-11-30 16:14:22,FALSE,NA,"1597987409199009792",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","kabarnuswantara",4,TRUE,FALSE,NA,NA
"830","RT @YuriEndah: Pemkot Bandung Siap Salurkan Bansos Rp450 Ribu untuk 15.280 Keluarga https://t.co/pM19KHammg",FALSE,0,NA,2022-11-30 16:14:20,FALSE,NA,"1597987402379063296",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","kabarnuswantara",3,TRUE,FALSE,NA,NA
"831","RT @rikisya36034558: Pemkot Bandung Siap Salurkan Bansos Rp450 Ribu untuk 15.280 Keluarga https://t.co/3gtXKCvay6",FALSE,0,NA,2022-11-30 16:12:04,FALSE,NA,"1597986833757270018",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","rihanaaas",4,TRUE,FALSE,NA,NA
"832","RT @De_Liput: Pemkot Bandung Siap Salurkan Bansos Rp450 Ribu untuk 15.280 Keluarga https://t.co/wA51HttW63",FALSE,0,NA,2022-11-30 16:12:03,FALSE,NA,"1597986826715037696",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","rihanaaas",3,TRUE,FALSE,NA,NA
"833","RT @kabarnuswantara: Pemkot Bandung Siap Salurkan Bansos Rp450 Ribu untuk 15.280 Keluarga https://t.co/SlizkitJ3s",FALSE,0,NA,2022-11-30 16:11:47,FALSE,NA,"1597986761128706051",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","rihanaaas",3,TRUE,FALSE,NA,NA
"834","RT @rikisya36034558: Pemkot Bandung Siap Salurkan Bansos Rp450 Ribu untuk 15.280 Keluarga https://t.co/3gtXKCvay6",FALSE,0,NA,2022-11-30 16:11:45,FALSE,NA,"1597986754078072832",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","YuriEndah",4,TRUE,FALSE,NA,NA
"835","RT @YuriEndah: Pemkot Bandung Siap Salurkan Bansos Rp450 Ribu untuk 15.280 Keluarga https://t.co/pM19KHammg",FALSE,0,NA,2022-11-30 16:11:45,FALSE,NA,"1597986754073858050",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","rihanaaas",3,TRUE,FALSE,NA,NA
"836","RT @De_Liput: Pemkot Bandung Siap Salurkan Bansos Rp450 Ribu untuk 15.280 Keluarga https://t.co/wA51HttW63",FALSE,0,NA,2022-11-30 16:11:44,FALSE,NA,"1597986747182624768",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","YuriEndah",3,TRUE,FALSE,NA,NA
"837","RT @rihanaaas: Pemkot Bandung Siap Salurkan Bansos Rp450 Ribu untuk 15.280 Keluarga https://t.co/O67k4jcVzF",FALSE,0,NA,2022-11-30 16:11:42,FALSE,NA,"1597986740161380357",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","YuriEndah",3,TRUE,FALSE,NA,NA
"838","Pemkot Bandung Siap Salurkan Bansos Rp450 Ribu untuk 15.280 Keluarga https://t.co/3gtXKCvay6",FALSE,0,NA,2022-11-30 16:11:13,FALSE,NA,"1597986616987258882",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","rikisya36034558",4,FALSE,FALSE,NA,NA
"839","Pemkot Bandung Siap Salurkan Bansos Rp450 Ribu untuk 15.280 Keluarga https://t.co/wA51HttW63",FALSE,0,NA,2022-11-30 16:11:13,FALSE,NA,"1597986616911724545",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","De_Liput",3,FALSE,FALSE,NA,NA
"840","Pemkot Bandung Siap Salurkan Bansos Rp450 Ribu untuk 15.280 Keluarga https://t.co/SlizkitJ3s",FALSE,0,NA,2022-11-30 16:11:13,FALSE,NA,"1597986616509071360",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","kabarnuswantara",3,FALSE,FALSE,NA,NA
"841","Pemkot Bandung Siap Salurkan Bansos Rp450 Ribu untuk 15.280 Keluarga https://t.co/pM19KHammg",FALSE,0,NA,2022-11-30 16:11:13,FALSE,NA,"1597986616257413120",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","YuriEndah",3,FALSE,FALSE,NA,NA
